latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
17.38071,101.5934,350.16,0.39,0.59,2024-11-21,07:05,N,nominal,2.0NRT,293.44,4.96,D
17.0411,98.55424,341.28,0.49,0.49,2024-11-21,07:05,N,nominal,2.0NRT,299.64,6.53,D
16.93638,96.79744,340.69,0.57,0.43,2024-11-21,07:05,N,nominal,2.0NRT,301.71,6.3,D
17.00767,96.61192,330.72,0.56,0.43,2024-11-21,07:05,N,low,2.0NRT,300.93,2.13,D
16.79436,95.01176,340.82,0.46,0.39,2024-11-21,07:05,N,nominal,2.0NRT,303,5.02,D
17.00347,96.5485,337.26,0.55,0.43,2024-11-21,07:05,N,nominal,2.0NRT,303.29,10.78,D
17.00279,96.54328,335.88,0.55,0.43,2024-11-21,07:05,N,nominal,2.0NRT,302.16,5.88,D
17.44111,100.11042,338.16,0.63,0.54,2024-11-21,07:05,N,nominal,2.0NRT,298.4,8.16,D
17.01081,96.57409,335,0.55,0.43,2024-11-21,07:05,N,nominal,2.0NRT,302.67,4.47,D
17.45847,100.08424,340.83,0.62,0.54,2024-11-21,07:05,N,nominal,2.0NRT,298.65,8.63,D
17.11598,97.26147,340.15,0.41,0.45,2024-11-21,07:05,N,nominal,2.0NRT,302.93,2.69,D
17.12573,97.27194,347.37,0.41,0.45,2024-11-21,07:05,N,nominal,2.0NRT,304.04,7.15,D
17.03789,96.475,332.66,0.55,0.43,2024-11-21,07:05,N,nominal,2.0NRT,300.62,2.66,D
17.45768,100.0833,341.92,0.62,0.54,2024-11-21,07:05,N,nominal,2.0NRT,298.87,11.61,D
17.14213,97.11874,332.86,0.4,0.44,2024-11-21,07:05,N,nominal,2.0NRT,299.44,2.85,D
17.14623,97.11819,337.36,0.4,0.44,2024-11-21,07:05,N,nominal,2.0NRT,299.76,2.85,D
17.16262,97.11599,329.8,0.4,0.44,2024-11-21,07:05,N,low,2.0NRT,299.89,5.08,D
17.16815,97.12678,334.38,0.4,0.44,2024-11-21,07:05,N,nominal,2.0NRT,300.78,2.94,D
17.17129,97.11866,346.6,0.4,0.44,2024-11-21,07:05,N,nominal,2.0NRT,301.26,6.94,D
17.19203,97.15059,329.66,0.4,0.44,2024-11-21,07:05,N,nominal,2.0NRT,299.73,3.13,D
17.57122,100.14281,339.97,0.63,0.54,2024-11-21,07:05,N,nominal,2.0NRT,299.61,4.73,D
17.22015,97.01624,337.94,0.39,0.44,2024-11-21,07:05,N,nominal,2.0NRT,299.11,3.2,D
17.1972,96.79846,337.82,0.38,0.43,2024-11-21,07:05,N,nominal,2.0NRT,302.6,2.61,D
17.01366,95.20504,335.87,0.47,0.4,2024-11-21,07:05,N,nominal,2.0NRT,301.79,3.59,D
17.63049,100.22476,335.96,0.32,0.55,2024-11-21,07:05,N,nominal,2.0NRT,299.27,2.86,D
17.25384,96.95486,330.44,0.39,0.44,2024-11-21,07:05,N,low,2.0NRT,301.25,1.22,D
17.6378,100.15148,340.87,0.63,0.54,2024-11-21,07:05,N,nominal,2.0NRT,298.72,11,D
17.26008,96.93895,339.31,0.39,0.44,2024-11-21,07:05,N,nominal,2.0NRT,301.04,3.08,D
17.63848,100.06596,341.96,0.63,0.54,2024-11-21,07:05,N,nominal,2.0NRT,297.93,5.85,D
17.28277,96.82749,332.19,0.39,0.44,2024-11-21,07:05,N,nominal,2.0NRT,299.9,2.94,D
17.28543,96.66119,330.27,0.57,0.43,2024-11-21,07:05,N,nominal,2.0NRT,301.25,3.03,D
17.31051,96.84882,333.21,0.39,0.44,2024-11-21,07:05,N,low,2.0NRT,304.04,3.64,D
17.28199,96.62074,335.66,0.56,0.43,2024-11-21,07:05,N,nominal,2.0NRT,301.56,4.75,D
17.31858,96.84772,340.21,0.39,0.44,2024-11-21,07:05,N,nominal,2.0NRT,302.23,4.27,D
17.31356,96.80753,336.86,0.38,0.44,2024-11-21,07:05,N,nominal,2.0NRT,301.57,4.7,D
17.71057,100.12784,330.53,0.63,0.54,2024-11-21,07:05,N,nominal,2.0NRT,297.73,4.81,D
17.33115,96.84974,334.73,0.39,0.44,2024-11-21,07:05,N,nominal,2.0NRT,303.49,4.9,D
17.33381,96.8382,337.72,0.39,0.44,2024-11-21,07:05,N,nominal,2.0NRT,302.93,2.5,D
17.33784,96.83765,335.71,0.39,0.44,2024-11-21,07:05,N,nominal,2.0NRT,300.8,2.73,D
17.74054,100.21474,329.24,0.32,0.55,2024-11-21,07:05,N,nominal,2.0NRT,297.12,1.97,D
17.6529,97.37132,335.31,0.42,0.45,2024-11-21,07:05,N,nominal,2.0NRT,297.6,3.68,D
18.07184,100.0924,330.12,0.64,0.54,2024-11-21,07:05,N,nominal,2.0NRT,297.95,3.59,D
14.94999,100.0406,331.96,0.57,0.52,2024-11-21,07:05,N,nominal,2.0NRT,294.41,4.04,D
15.15888,100.78122,335.43,0.32,0.55,2024-11-21,07:05,N,nominal,2.0NRT,292.38,0.97,D
15.13028,100.03795,339.58,0.58,0.52,2024-11-21,07:05,N,nominal,2.0NRT,295.09,3.82,D
15.16521,100.28131,329.72,0.6,0.53,2024-11-21,07:05,N,nominal,2.0NRT,294.52,5.37,D
15.12895,100.042,341.47,0.58,0.52,2024-11-21,07:05,N,nominal,2.0NRT,296.32,8.16,D
15.16633,100.27976,331.6,0.6,0.53,2024-11-21,07:05,N,nominal,2.0NRT,294.03,3.75,D
15.15345,100.08337,332.28,0.58,0.52,2024-11-21,07:05,N,nominal,2.0NRT,294.45,2.4,D
15.1995,100.26422,342.2,0.6,0.53,2024-11-21,07:05,N,nominal,2.0NRT,294.82,8.42,D
15.18097,100.02454,333.52,0.58,0.52,2024-11-21,07:05,N,nominal,2.0NRT,294.94,4.25,D
15.33608,100.38977,329.89,0.61,0.54,2024-11-21,07:05,N,nominal,2.0NRT,296.42,4.8,D
15.33945,100.12539,336.43,0.59,0.53,2024-11-21,07:05,N,nominal,2.0NRT,296.45,6.58,D
15.39921,100.49413,342.44,0.62,0.54,2024-11-21,07:05,N,nominal,2.0NRT,294.09,11.41,D
15.34176,100.12781,336.44,0.59,0.53,2024-11-21,07:05,N,nominal,2.0NRT,295.16,4.76,D
15.39818,100.49155,341.74,0.62,0.54,2024-11-21,07:05,N,nominal,2.0NRT,294.95,13.44,D
15.35578,99.7049,332.51,0.55,0.51,2024-11-21,07:05,N,nominal,2.0NRT,291.59,3.12,D
15.37384,99.7345,334.53,0.56,0.51,2024-11-21,07:05,N,nominal,2.0NRT,291.32,3.25,D
15.74954,100.37373,333.06,0.62,0.54,2024-11-21,07:05,N,nominal,2.0NRT,294.66,9.9,D
15.96885,100.74976,332.14,0.33,0.55,2024-11-21,07:05,N,nominal,2.0NRT,295.39,2.4,D
15.89971,100.04837,331.63,0.59,0.53,2024-11-21,07:05,N,nominal,2.0NRT,294.72,4.42,D
15.98224,99.80074,333.4,0.57,0.52,2024-11-21,07:05,N,nominal,2.0NRT,293.19,3.55,D
16.30041,101.90032,367,0.4,0.6,2024-11-21,07:05,N,high,2.0NRT,295.38,8.55,D
16.29957,101.90192,367,0.4,0.6,2024-11-21,07:05,N,high,2.0NRT,295.14,10.79,D
16.24714,101.15591,341.81,0.35,0.57,2024-11-21,07:05,N,nominal,2.0NRT,293.26,2.85,D
16.08132,98.87247,330.19,0.5,0.49,2024-11-21,07:05,N,nominal,2.0NRT,299.32,3.69,D
