latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.45681,101.25487,340.7,0.65,0.73,2024-11-10,05:33,N,nominal,2.0NRT,288.94,10.64,D
26.57713,101.66275,336.25,0.43,0.62,2024-11-10,05:35,N,nominal,2.0NRT,291.85,7.79,D
27.90281,96.77473,326.55,0.77,0.78,2024-11-10,05:35,N,nominal,2.0NRT,287.85,7.92,D
27.89815,96.7758,333.98,0.77,0.77,2024-11-10,05:35,N,nominal,2.0NRT,288.99,8.16,D
26.57706,101.66783,367,0.43,0.62,2024-11-10,05:35,N,high,2.0NRT,297.17,15.28,D
26.57842,101.66803,367,0.43,0.62,2024-11-10,05:35,N,high,2.0NRT,295.16,7.79,D
14.79539,101.87598,328.75,0.49,0.65,2024-11-10,07:11,N,nominal,2.0NRT,290.15,4.28,D
14.70522,100.08437,344.2,0.37,0.58,2024-11-10,07:11,N,nominal,2.0NRT,292.22,3.86,D
14.71062,100.08376,331.99,0.37,0.58,2024-11-10,07:11,N,nominal,2.0NRT,291.77,2.13,D
14.88327,100.86275,330.07,0.42,0.61,2024-11-10,07:11,N,nominal,2.0NRT,293.73,2.82,D
15.20461,100.66676,339.63,0.41,0.61,2024-11-10,07:11,N,nominal,2.0NRT,296.59,2.4,D
15.3305,101.08526,329.31,0.44,0.62,2024-11-10,07:11,N,nominal,2.0NRT,296.24,1.37,D
15.26598,100.39928,339.87,0.39,0.6,2024-11-10,07:11,N,nominal,2.0NRT,296.77,3.37,D
15.30358,100.68385,341.56,0.41,0.61,2024-11-10,07:11,N,nominal,2.0NRT,296.92,3.67,D
15.27151,100.3986,337.09,0.39,0.6,2024-11-10,07:11,N,nominal,2.0NRT,292.92,3.37,D
15.32679,100.58648,355.33,0.41,0.6,2024-11-10,07:11,N,nominal,2.0NRT,296.94,4.96,D
15.32979,100.58463,367,0.41,0.6,2024-11-10,07:11,N,high,2.0NRT,297.18,9.1,D
15.39812,100.1339,331.79,0.38,0.59,2024-11-10,07:11,N,nominal,2.0NRT,294.26,3.77,D
12.18344,79.5451,331.26,0.53,0.67,2024-11-10,07:11,N,nominal,2.0NRT,292.68,6.93,D
15.37691,99.65299,347.83,0.35,0.57,2024-11-10,07:11,N,nominal,2.0NRT,292.49,3.92,D
15.39011,99.72154,332.5,0.36,0.57,2024-11-10,07:11,N,nominal,2.0NRT,292.84,2.84,D
15.46791,99.47658,352.31,0.34,0.56,2024-11-10,07:11,N,nominal,2.0NRT,292.82,5.76,D
12.71976,79.57167,331.94,0.51,0.66,2024-11-10,07:11,N,nominal,2.0NRT,294.12,5.91,D
15.88424,99.58887,331.83,0.35,0.57,2024-11-10,07:11,N,nominal,2.0NRT,291.09,2.53,D
16.02238,99.7295,330.67,0.36,0.58,2024-11-10,07:11,N,nominal,2.0NRT,289.73,3.64,D
14.88895,100.86211,335.43,0.42,0.61,2024-11-10,07:11,N,nominal,2.0NRT,293.65,2.82,D
14.9541,100.81052,339.8,0.42,0.61,2024-11-10,07:11,N,nominal,2.0NRT,295.59,3.79,D
14.92219,100.17455,338.75,0.38,0.58,2024-11-10,07:11,N,nominal,2.0NRT,294.03,3.35,D
15.06046,100.86618,347.34,0.42,0.61,2024-11-10,07:11,N,nominal,2.0NRT,296.8,5.09,D
11.69097,79.10184,329.39,0.58,0.69,2024-11-10,07:11,N,nominal,2.0NRT,296.46,3.5,D
15.1336,100.62145,367,0.41,0.6,2024-11-10,07:11,N,high,2.0NRT,298.37,13.4,D
14.98536,99.52794,329.66,0.34,0.56,2024-11-10,07:11,N,nominal,2.0NRT,292.19,3.22,D
15.13319,100.61777,353.66,0.41,0.6,2024-11-10,07:11,N,nominal,2.0NRT,296.01,13.4,D
15.14879,100.45143,331.39,0.39,0.6,2024-11-10,07:11,N,nominal,2.0NRT,294.71,2.13,D
14.04023,101.30936,355.47,0.44,0.62,2024-11-10,07:11,N,nominal,2.0NRT,289.9,7.23,D
14.64709,100.95336,331.59,0.42,0.61,2024-11-10,07:11,N,nominal,2.0NRT,294.87,3.32,D
14.65061,100.93283,332.08,0.42,0.61,2024-11-10,07:11,N,nominal,2.0NRT,293.73,3.55,D
18.33522,100.2078,332.59,0.42,0.61,2024-11-10,07:13,N,nominal,2.0NRT,294.22,2.82,D
18.33737,100.20569,328.51,0.42,0.61,2024-11-10,07:13,N,nominal,2.0NRT,293.41,1.66,D
15.35399,78.20494,332.23,0.56,0.69,2024-11-10,07:13,N,nominal,2.0NRT,292.89,4.99,D
18.84415,100.19099,327.39,0.42,0.61,2024-11-10,07:13,N,nominal,2.0NRT,291.37,4.41,D
19.02445,100.92936,329.13,0.47,0.64,2024-11-10,07:13,N,nominal,2.0NRT,292.99,3.31,D
15.83326,78.18432,348.73,0.55,0.68,2024-11-10,07:13,N,nominal,2.0NRT,300.73,5.95,D
15.83545,78.18327,345.85,0.55,0.68,2024-11-10,07:13,N,nominal,2.0NRT,300.32,9.58,D
16.89462,81.43489,333.52,0.32,0.55,2024-11-10,07:13,N,nominal,2.0NRT,299.78,1.57,D
16.95961,80.86845,336.59,0.35,0.57,2024-11-10,07:13,N,nominal,2.0NRT,301.56,3.66,D
16.95933,80.8671,333.49,0.35,0.57,2024-11-10,07:13,N,nominal,2.0NRT,301.04,3.62,D
18.76782,78.15705,334.86,0.49,0.65,2024-11-10,07:13,N,nominal,2.0NRT,297.43,4.3,D
18.67775,77.85962,332.61,0.51,0.66,2024-11-10,07:13,N,nominal,2.0NRT,297.87,6.06,D
18.67987,77.86929,331.04,0.51,0.66,2024-11-10,07:13,N,nominal,2.0NRT,298.96,5.63,D
18.63522,77.78259,331.17,0.52,0.66,2024-11-10,07:13,N,nominal,2.0NRT,295.4,2.81,D
18.65899,77.97562,337.65,0.5,0.66,2024-11-10,07:13,N,nominal,2.0NRT,299.2,4.52,D
20.73245,81.37534,329.33,0.56,0.51,2024-11-10,07:13,N,nominal,2.0NRT,298.7,3.87,D
20.73335,81.37258,332.13,0.55,0.51,2024-11-10,07:13,N,nominal,2.0NRT,298.49,3.81,D
22.60705,92.21675,329.46,0.46,0.39,2024-11-10,07:13,N,nominal,2.0NRT,295.24,2.22,D
22.05543,88.12607,338.04,0.39,0.36,2024-11-10,07:13,N,low,2.0NRT,309.43,3.56,D
22.05484,88.12232,331.83,0.39,0.36,2024-11-10,07:13,N,low,2.0NRT,305.34,3.56,D
22.56458,91.41702,328.9,0.43,0.38,2024-11-10,07:13,N,nominal,2.0NRT,297.92,2.33,D
22.76707,92.25011,342.6,0.47,0.4,2024-11-10,07:13,N,nominal,2.0NRT,296.74,7.6,D
22.76727,92.25153,338.82,0.47,0.4,2024-11-10,07:13,N,nominal,2.0NRT,296.18,5.91,D
21.67743,84.03796,327.7,0.56,0.43,2024-11-10,07:13,N,low,2.0NRT,301.57,6.21,D
22.36553,87.30216,342.11,0.4,0.37,2024-11-10,07:13,N,nominal,2.0NRT,309.21,7.01,D
22.36629,87.30256,337.76,0.4,0.37,2024-11-10,07:13,N,low,2.0NRT,309.46,8.98,D
22.37936,87.27621,331.23,0.4,0.37,2024-11-10,07:13,N,low,2.0NRT,305.66,3.01,D
23.07968,91.83246,332.46,0.45,0.39,2024-11-10,07:13,N,nominal,2.0NRT,298.03,3.52,D
21.4509,81.13404,330.36,0.56,0.51,2024-11-10,07:13,N,nominal,2.0NRT,297.09,4.44,D
21.92305,83.3494,337.07,0.4,0.44,2024-11-10,07:13,N,nominal,2.0NRT,298.91,3.4,D
18.67082,78.17008,343.35,0.49,0.65,2024-11-10,07:13,N,nominal,2.0NRT,297.89,6.3,D
18.66077,78.15305,355.18,0.49,0.65,2024-11-10,07:13,N,nominal,2.0NRT,298.11,14.04,D
18.66283,78.16227,338.33,0.49,0.65,2024-11-10,07:13,N,nominal,2.0NRT,297.36,12.91,D
18.6618,78.15765,367,0.49,0.65,2024-11-10,07:13,N,high,2.0NRT,298.87,14.04,D
18.585,77.87197,330.03,0.51,0.66,2024-11-10,07:13,N,nominal,2.0NRT,296.67,2.48,D
18.66558,78.15343,347.53,0.49,0.65,2024-11-10,07:13,N,nominal,2.0NRT,298.02,7.1,D
18.66958,78.17193,338.62,0.49,0.65,2024-11-10,07:13,N,nominal,2.0NRT,297.51,6.84,D
