latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.91334,100.80875,333.37,0.34,0.56,2024-11-14,05:57,N,nominal,2.0NRT,292.96,2.27,D
14.89739,100.80872,339.67,0.34,0.56,2024-11-14,05:57,N,nominal,2.0NRT,293.31,2.97,D
14.89799,100.81183,332.92,0.34,0.56,2024-11-14,05:57,N,nominal,2.0NRT,291.67,2.97,D
16.06067,100.47713,332.56,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,293.54,1.42,D
16.03036,100.05114,332.49,0.36,0.57,2024-11-14,05:59,N,nominal,2.0NRT,294.12,3.81,D
16.25777,100.34671,334.09,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,295.32,2.32,D
17.30383,100.07756,344.74,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,297.06,4.48,D
17.41159,100.13697,334.39,0.33,0.56,2024-11-14,05:59,N,nominal,2.0NRT,299.43,3.82,D
17.40936,100.13918,330.95,0.33,0.56,2024-11-14,05:59,N,nominal,2.0NRT,298.94,2.96,D
17.52173,100.0816,330.49,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,299.09,2.06,D
17.55677,100.01777,328.62,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,297.85,2.72,D
17.58045,100.00272,336.84,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,298.75,1.32,D
17.65672,100.23611,335.43,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,300,3.54,D
18.00199,100.07663,332.2,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,296.31,1.97,D
18.00771,100.05257,343.15,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,296.4,4.09,D
18.2662,100.20763,344.44,0.32,0.55,2024-11-14,05:59,N,nominal,2.0NRT,297.27,3.81,D
16.31895,100.08552,332.25,0.35,0.57,2024-11-14,05:59,N,nominal,2.0NRT,295.81,3.8,D
16.2702,99.73805,334.03,0.37,0.58,2024-11-14,05:59,N,nominal,2.0NRT,294.78,3.89,D
16.64657,100.50243,331.74,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,296.34,3.69,D
16.73312,100.39504,336.1,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,295.5,5.62,D
16.7325,100.39194,335.08,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,296.11,4.22,D
15.83893,100.3652,340.92,0.35,0.56,2024-11-14,05:59,N,nominal,2.0NRT,294.55,2.4,D
17.50755,101.59357,339.23,0.54,0.51,2024-11-14,05:59,N,nominal,2.0NRT,296.14,5.02,D
17.51217,101.5926,330.95,0.54,0.51,2024-11-14,05:59,N,nominal,2.0NRT,295.24,4.1,D
17.26537,99.99709,345.8,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,296.87,3.53,D
17.26555,99.99533,342.43,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,296.75,4.55,D
18.5535,101.46072,329.81,0.52,0.5,2024-11-14,05:59,N,nominal,2.0NRT,297.1,4.48,D
18.30992,100.21918,327.07,0.64,0.54,2024-11-14,05:59,N,low,2.0NRT,297.29,3.56,D
18.3279,100.15387,330.88,0.32,0.55,2024-11-14,05:59,N,nominal,2.0NRT,296.7,1.79,D
17.6729,95.16629,327.87,0.68,0.74,2024-11-14,05:59,N,nominal,2.0NRT,290.88,4.22,D
17.30448,100.08073,340.12,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,297.5,5.62,D
19.16954,99.62164,331.43,0.33,0.56,2024-11-14,05:59,N,nominal,2.0NRT,295.45,4.04,D
19.46106,99.48022,328.33,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,291.67,3.11,D
19.54964,99.49658,326.14,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,292.96,2.16,D
21.91811,101.8392,341.67,0.43,0.46,2024-11-14,05:59,N,nominal,2.0NRT,300.79,4.57,D
21.83259,99.52953,327.36,0.6,0.53,2024-11-14,05:59,N,nominal,2.0NRT,293.98,3.82,D
21.58148,96.96013,328.63,0.44,0.62,2024-11-14,05:59,N,nominal,2.0NRT,297.26,3.09,D
21.37206,95.16423,336.41,0.57,0.69,2024-11-14,05:59,N,nominal,2.0NRT,295.09,8.19,D
22.90924,101.28967,331.86,0.45,0.47,2024-11-14,05:59,N,nominal,2.0NRT,295.04,8.09,D
22.90829,101.28477,337.21,0.45,0.47,2024-11-14,05:59,N,nominal,2.0NRT,295.97,8.09,D
16.86129,100.16708,331,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,295.18,2.2,D
15.7955,99.39265,335.97,0.4,0.6,2024-11-14,05:59,N,nominal,2.0NRT,294.23,3.4,D
16.08472,100.73641,333.63,0.32,0.55,2024-11-14,05:59,N,nominal,2.0NRT,295.94,3.19,D
14.89361,99.91605,335.66,0.39,0.59,2024-11-14,05:59,N,nominal,2.0NRT,293.44,2.26,D
15.19634,101.07418,367,0.32,0.55,2024-11-14,05:59,N,high,2.0NRT,296.43,14.07,D
15.19692,101.0772,343.91,0.32,0.55,2024-11-14,05:59,N,nominal,2.0NRT,294.51,14.07,D
26.41877,101.54464,331.74,0.56,0.43,2024-11-14,05:59,N,low,2.0NRT,301.77,7.47,D
26.57527,101.66539,337.89,0.55,0.43,2024-11-14,05:59,N,nominal,2.0NRT,303.14,12.41,D
25.58343,96.72303,325.63,0.37,0.58,2024-11-14,05:59,N,nominal,2.0NRT,295.21,1.52,D
26.54254,100.92956,341.23,0.4,0.45,2024-11-14,05:59,N,nominal,2.0NRT,296.17,4.32,D
26.36618,98.61636,343.42,0.56,0.51,2024-11-14,05:59,N,nominal,2.0NRT,294.14,15.06,D
26.50942,97.58435,349.42,0.32,0.54,2024-11-14,05:59,N,nominal,2.0NRT,293.35,14.54,D
26.50867,97.58094,334.64,0.32,0.54,2024-11-14,05:59,N,nominal,2.0NRT,292.41,4.65,D
26.12856,94.62801,325.21,0.49,0.65,2024-11-14,05:59,N,nominal,2.0NRT,289.77,4.34,D
27.43977,95.99869,333.55,0.38,0.59,2024-11-14,05:59,N,nominal,2.0NRT,293.8,2.86,D
27.45989,95.47672,326.38,0.4,0.6,2024-11-14,05:59,N,nominal,2.0NRT,293.94,1.09,D
28.00081,96.74562,345.25,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,290.19,6.32,D
28.0002,96.74291,355.71,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,290.31,6.32,D
28.0039,96.74527,332.22,0.33,0.55,2024-11-14,05:59,N,nominal,2.0NRT,289.87,4.13,D
28.01623,96.58988,325.26,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,289.85,1.75,D
15.19577,101.07115,350.83,0.32,0.55,2024-11-14,05:59,N,nominal,2.0NRT,291.32,9.76,D
15.16903,100.69902,330.44,0.34,0.56,2024-11-14,05:59,N,nominal,2.0NRT,292.39,3.64,D
15.40992,100.49584,331.78,0.35,0.56,2024-11-14,05:59,N,nominal,2.0NRT,295.8,5.67,D
15.40986,100.49403,336.6,0.35,0.56,2024-11-14,05:59,N,nominal,2.0NRT,295.35,4.95,D
15.37394,99.73214,337.35,0.39,0.59,2024-11-14,05:59,N,nominal,2.0NRT,293.9,4.4,D
15.37478,99.7313,338.65,0.39,0.59,2024-11-14,05:59,N,nominal,2.0NRT,293.72,3.43,D
36.59985,101.45897,333.51,0.42,0.37,2024-11-14,06:01,N,nominal,2.0NRT,289.92,8.87,D
36.66637,101.65984,344.73,0.41,0.37,2024-11-14,06:01,N,nominal,2.0NRT,289.19,4.54,D
23.77425,101.86411,332.2,0.4,0.44,2024-11-14,06:01,N,low,2.0NRT,302.51,2.85,D
25.32238,101.71963,326.27,0.38,0.44,2024-11-14,06:01,N,nominal,2.0NRT,299.26,1.92,D
23.14005,100.9399,336.5,0.47,0.47,2024-11-14,06:01,N,nominal,2.0NRT,296.07,7.73,D
23.14091,100.94421,334.18,0.47,0.47,2024-11-14,06:01,N,nominal,2.0NRT,293.64,7.73,D
24.68591,101.76669,328.37,0.39,0.44,2024-11-14,06:01,N,low,2.0NRT,300.06,3.6,D
36.7181,101.89808,340.04,0.4,0.37,2024-11-14,06:01,N,nominal,2.0NRT,290.38,8.37,D
36.15965,100.60612,337.57,0.45,0.39,2024-11-14,06:01,N,nominal,2.0NRT,291.36,4.34,D
38.62416,101.18729,331.88,0.41,0.37,2024-11-14,06:03,N,nominal,2.0NRT,294.07,1.95,D
38.64149,101.20644,326.04,0.41,0.37,2024-11-14,06:03,N,nominal,2.0NRT,291.89,3.18,D
38.64484,101.2055,328.71,0.41,0.37,2024-11-14,06:03,N,nominal,2.0NRT,293.01,2.72,D
38.36201,101.80041,334.42,0.4,0.37,2024-11-14,06:03,N,nominal,2.0NRT,294.44,4.13,D
17.54207,79.62727,333.27,0.5,0.41,2024-11-14,07:37,N,nominal,2.0NRT,295.21,2.59,D
12.10934,76.98363,339.07,0.6,0.53,2024-11-14,07:37,N,nominal,2.0NRT,288.81,5.68,D
16.70271,80.31573,335.44,0.48,0.4,2024-11-14,07:37,N,nominal,2.0NRT,294.15,3.65,D
17.01171,81.63654,338.05,0.42,0.38,2024-11-14,07:37,N,nominal,2.0NRT,297.85,4.17,D
17.03169,81.03094,331.57,0.44,0.38,2024-11-14,07:37,N,nominal,2.0NRT,295.13,2.77,D
16.56573,78.20922,337.63,0.42,0.45,2024-11-14,07:37,N,nominal,2.0NRT,290.55,4.19,D
17.22219,81.72807,331.54,0.41,0.37,2024-11-14,07:37,N,nominal,2.0NRT,295.62,3.11,D
17.69052,82.72857,330.23,0.39,0.36,2024-11-14,07:37,N,nominal,2.0NRT,295.64,2.13,D
17.34655,79.5718,332.51,0.51,0.41,2024-11-14,07:37,N,nominal,2.0NRT,295.74,4.31,D
17.37625,79.65461,330.9,0.51,0.41,2024-11-14,07:37,N,nominal,2.0NRT,295.95,2.88,D
17.37689,79.65639,330.23,0.5,0.41,2024-11-14,07:37,N,nominal,2.0NRT,295.54,2.59,D
17.20619,77.95683,330.23,0.42,0.45,2024-11-14,07:37,N,nominal,2.0NRT,294.18,3.4,D
22.04441,83.7292,333.31,0.39,0.36,2024-11-14,07:39,N,nominal,2.0NRT,306.12,2.38,D
22.20661,84.86243,331.57,0.42,0.38,2024-11-14,07:39,N,low,2.0NRT,302.82,4.15,D
21.40539,79.44715,336.13,0.46,0.39,2024-11-14,07:39,N,nominal,2.0NRT,304,4.58,D
21.72027,81.3139,338.91,0.4,0.37,2024-11-14,07:39,N,nominal,2.0NRT,306.07,3.03,D
21.85291,82.04488,331.23,0.39,0.36,2024-11-14,07:39,N,nominal,2.0NRT,301.8,1.84,D
23.21183,93.05988,332.14,0.42,0.61,2024-11-14,07:39,N,nominal,2.0NRT,298.81,2.1,D
21.42988,79.37379,334.97,0.46,0.39,2024-11-14,07:39,N,nominal,2.0NRT,302.88,1.87,D
21.75382,81.26448,334.87,0.4,0.37,2024-11-14,07:39,N,nominal,2.0NRT,306.74,2.69,D
22.10712,83.5248,347.04,0.39,0.36,2024-11-14,07:39,N,nominal,2.0NRT,312.01,5.22,D
21.80969,81.47372,337.27,0.39,0.36,2024-11-14,07:39,N,nominal,2.0NRT,308.05,6.86,D
21.98558,82.57802,330.43,0.38,0.36,2024-11-14,07:39,N,low,2.0NRT,304.27,3.43,D
21.79474,81.35918,335.2,0.4,0.37,2024-11-14,07:39,N,nominal,2.0NRT,303.53,1.96,D
21.76133,81.15269,331.14,0.4,0.37,2024-11-14,07:39,N,nominal,2.0NRT,304.11,2.31,D
21.76071,81.14886,331,0.4,0.37,2024-11-14,07:39,N,nominal,2.0NRT,304.14,1.92,D
21.82209,81.27171,336.11,0.4,0.37,2024-11-14,07:39,N,nominal,2.0NRT,304.98,2.74,D
21.81677,81.17411,335.59,0.4,0.37,2024-11-14,07:39,N,nominal,2.0NRT,305.72,3.23,D
21.86141,81.40962,334.06,0.39,0.37,2024-11-14,07:39,N,nominal,2.0NRT,305.62,2.34,D
21.87814,81.40655,333.17,0.39,0.37,2024-11-14,07:39,N,nominal,2.0NRT,306.71,3.26,D
22.02966,82.28842,343.03,0.38,0.36,2024-11-14,07:39,N,nominal,2.0NRT,305.43,5.16,D
21.86603,81.24394,333.47,0.4,0.37,2024-11-14,07:39,N,nominal,2.0NRT,304.81,1.81,D
21.89909,81.43005,334.18,0.39,0.36,2024-11-14,07:39,N,nominal,2.0NRT,305.84,2.77,D
