latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
5.92597,101.29843,330.75,0.35,0.57,2024-11-03,05:59,N,nominal,2.0NRT,289.51,3.11,D
14.9945,100.76709,347.1,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,296.16,10.13,D
15.01335,100.75625,330.97,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,295.52,4.25,D
15.00324,100.75319,342.67,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,295.54,7.17,D
14.99586,100.76502,329.82,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,294.73,5.33,D
14.99674,100.76984,341.94,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,294.28,8.55,D
20.02853,99.91701,340.13,0.49,0.48,2024-11-03,06:03,N,nominal,2.0NRT,298.9,6.77,D
19.78973,97.01199,340.49,0.38,0.58,2024-11-03,06:03,N,nominal,2.0NRT,294.83,4.36,D
19.91237,96.97477,344.77,0.38,0.58,2024-11-03,06:03,N,nominal,2.0NRT,296.33,6.06,D
20.00576,97.09983,326.19,0.37,0.58,2024-11-03,06:03,N,nominal,2.0NRT,292.31,1.64,D
20.04834,97.07438,335.74,0.37,0.58,2024-11-03,06:03,N,nominal,2.0NRT,294.75,4.71,D
20.46534,97.22027,331.19,0.35,0.57,2024-11-03,06:03,N,nominal,2.0NRT,295.86,2.2,D
20.03296,99.91611,331.53,0.49,0.48,2024-11-03,06:03,N,nominal,2.0NRT,298.38,6.77,D
20.22296,100.03525,326.92,0.48,0.48,2024-11-03,06:03,N,low,2.0NRT,298.83,1.59,D
19.44722,96.14005,330.65,0.43,0.62,2024-11-03,06:03,N,nominal,2.0NRT,290.92,3.19,D
20.25454,99.9861,327.51,0.48,0.48,2024-11-03,06:03,N,nominal,2.0NRT,297.04,1.72,D
20.26331,99.98417,326.42,0.48,0.48,2024-11-03,06:03,N,nominal,2.0NRT,297.08,1.47,D
20.37876,100.06863,328.54,0.47,0.48,2024-11-03,06:03,N,nominal,2.0NRT,295.74,2.31,D
19.08364,100.71193,326.7,0.45,0.47,2024-11-03,06:03,N,nominal,2.0NRT,296.17,2.83,D
18.80125,100.18645,332.04,0.49,0.49,2024-11-03,06:03,N,nominal,2.0NRT,295.73,3.77,D
18.79927,100.18537,333.49,0.49,0.49,2024-11-03,06:03,N,nominal,2.0NRT,296.19,4.19,D
19.79307,97.01347,326.74,0.38,0.58,2024-11-03,06:03,N,nominal,2.0NRT,294.12,3.32,D
18.15593,100.24536,340.78,0.5,0.49,2024-11-03,06:03,N,nominal,2.0NRT,297.74,5.87,D
18.1603,100.24796,330.57,0.5,0.49,2024-11-03,06:03,N,nominal,2.0NRT,296.49,3.67,D
18.15581,100.24891,341.38,0.5,0.49,2024-11-03,06:03,N,nominal,2.0NRT,298.42,3.67,D
17.36678,100.12505,327.8,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,295.67,1.88,D
17.36735,100.12268,327.3,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,295.34,2.48,D
17.36191,100.14439,328.39,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,296.96,4.05,D
17.05396,100.19273,328.94,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,296.03,3.5,D
16.08184,100.40555,330.13,0.53,0.5,2024-11-03,06:03,N,nominal,2.0NRT,294.56,4.04,D
16.09971,100.57581,330.99,0.52,0.5,2024-11-03,06:03,N,nominal,2.0NRT,294.95,4.26,D
