latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
7.41697,99.65759,326.19,0.41,0.45,2024-11-18,06:20,N,nominal,2.0NRT,284.74,2.53,D
15.25306,100.36916,344.3,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,301.06,6.59,D
15.33702,100.15266,332.86,0.46,0.39,2024-11-18,06:22,N,nominal,2.0NRT,298.13,3.3,D
15.32309,99.77899,331.08,0.47,0.4,2024-11-18,06:22,N,nominal,2.0NRT,296.97,1.78,D
15.74085,99.72734,334.71,0.47,0.4,2024-11-18,06:22,N,nominal,2.0NRT,296.84,3.06,D
15.98335,101.16455,331.2,0.41,0.37,2024-11-18,06:22,N,low,2.0NRT,303.76,2.84,D
15.91323,100.14654,342.32,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,300.26,5.59,D
15.93777,100.2492,332.51,0.44,0.39,2024-11-18,06:22,N,nominal,2.0NRT,297.49,1.68,D
16.02926,100.08344,335.85,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,297.39,3.33,D
16.05042,99.90102,333.67,0.46,0.39,2024-11-18,06:22,N,nominal,2.0NRT,298.24,3.8,D
16.1826,100.64043,347.1,0.43,0.38,2024-11-18,06:22,N,nominal,2.0NRT,300.78,32.1,D
16.13,100.31736,330.33,0.44,0.38,2024-11-18,06:22,N,nominal,2.0NRT,298.45,2.3,D
16.08521,99.99978,330.11,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,297.29,3,D
16.17097,100.50237,347.23,0.43,0.38,2024-11-18,06:22,N,nominal,2.0NRT,300.3,21.43,D
16.17191,100.50333,355.17,0.43,0.38,2024-11-18,06:22,N,nominal,2.0NRT,301.79,8.6,D
16.1754,100.50272,355.9,0.43,0.38,2024-11-18,06:22,N,nominal,2.0NRT,299.64,8.6,D
16.10949,100.0014,337.03,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,298.02,3.84,D
16.1751,100.32749,331.46,0.44,0.38,2024-11-18,06:22,N,nominal,2.0NRT,298.2,3.71,D
16.22466,100.18746,333.48,0.44,0.39,2024-11-18,06:22,N,nominal,2.0NRT,297.99,2.87,D
16.18707,99.73272,339.83,0.47,0.39,2024-11-18,06:22,N,nominal,2.0NRT,298.63,4.16,D
16.53613,99.62899,332.63,0.47,0.39,2024-11-18,06:22,N,nominal,2.0NRT,296.42,3.94,D
16.9703,100.3072,338.11,0.43,0.38,2024-11-18,06:22,N,nominal,2.0NRT,299.56,2.42,D
16.9524,100.06651,331.92,0.44,0.38,2024-11-18,06:22,N,nominal,2.0NRT,297.87,2.24,D
16.72704,96.71147,333.8,0.45,0.47,2024-11-18,06:22,N,nominal,2.0NRT,293.9,3.61,D
16.767,96.7599,328.75,0.45,0.47,2024-11-18,06:22,N,nominal,2.0NRT,293.54,2.83,D
17.83073,101.93997,333.74,0.39,0.36,2024-11-18,06:22,N,nominal,2.0NRT,300.85,2.6,D
17.52646,99.77935,329.83,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,298.16,2.17,D
17.54624,99.81031,333.73,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,298.17,2.57,D
17.12673,97.26191,340.14,0.41,0.45,2024-11-18,06:22,N,nominal,2.0NRT,296.08,6.59,D
17.13425,97.25647,347.83,0.41,0.45,2024-11-18,06:22,N,nominal,2.0NRT,294.54,7.22,D
17.13269,97.25698,344.14,0.41,0.45,2024-11-18,06:22,N,nominal,2.0NRT,295.37,7.46,D
17.17462,97.13681,333.15,0.42,0.45,2024-11-18,06:22,N,nominal,2.0NRT,293.92,3.35,D
17.08641,96.43315,328.98,0.46,0.47,2024-11-18,06:22,N,nominal,2.0NRT,293.14,2.94,D
17.31272,96.84751,331.1,0.43,0.46,2024-11-18,06:22,N,nominal,2.0NRT,292.11,4.29,D
17.36716,96.53374,335.62,0.45,0.47,2024-11-18,06:22,N,nominal,2.0NRT,293.49,3.32,D
17.38117,96.56144,334.01,0.45,0.47,2024-11-18,06:22,N,nominal,2.0NRT,294.24,2.94,D
15.24172,100.36687,342.35,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,301.82,5.77,D
14.08517,100.64848,353.99,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,298.27,7.24,D
14.08449,100.64436,342.18,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,296.5,3.76,D
14.16741,100.55807,341.19,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,299.25,3.94,D
14.16672,100.55392,348.9,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,300.41,5.77,D
14.17029,100.5533,350.32,0.45,0.39,2024-11-18,06:22,N,nominal,2.0NRT,300.82,9.93,D
14.30682,100.70071,340.9,0.44,0.39,2024-11-18,06:22,N,nominal,2.0NRT,297.75,0.97,D
14.31035,100.7001,357.19,0.44,0.39,2024-11-18,06:22,N,low,2.0NRT,300.27,13.51,D
14.30784,100.66261,335.95,0.44,0.39,2024-11-18,06:22,N,nominal,2.0NRT,297.44,1.3,D
