latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.92788,100.79003,327.94,0.43,0.62,2024-11-25,05:50,N,nominal,2.0NRT,285.79,1.14,D
19.52343,100.11549,349.47,0.39,0.59,2024-11-25,05:52,N,nominal,2.0NRT,292.88,6.4,D
19.52513,100.11633,337.05,0.38,0.59,2024-11-25,05:52,N,nominal,2.0NRT,291.92,6.66,D
17.23372,100.12464,330.79,0.43,0.62,2024-11-25,05:52,N,nominal,2.0NRT,274.44,3.28,D
16.31182,101.98952,331.56,0.34,0.56,2024-11-25,05:52,N,nominal,2.0NRT,288.06,2.54,D
16.34104,101.99444,333.64,0.34,0.56,2024-11-25,05:52,N,nominal,2.0NRT,290.26,3.02,D
22.59947,99.11896,328.27,0.39,0.59,2024-11-25,05:52,N,nominal,2.0NRT,295.11,4.2,D
22.36098,97.19888,329.24,0.51,0.66,2024-11-25,05:52,N,nominal,2.0NRT,292.62,3.28,D
24.41564,97.34782,327.06,0.45,0.63,2024-11-25,05:54,N,nominal,2.0NRT,290.78,4.1,D
24.94684,98.47365,325.51,0.38,0.59,2024-11-25,05:54,N,nominal,2.0NRT,283.07,2.11,D
26.56396,101.67428,328.01,0.45,0.47,2024-11-25,05:54,N,low,2.0NRT,301.98,2.99,D
26.57584,101.6668,329.43,0.45,0.47,2024-11-25,05:54,N,low,2.0NRT,300.31,4.59,D
23.1071,96.01304,330.65,0.58,0.7,2024-11-25,05:54,N,nominal,2.0NRT,293.38,3.8,D
23.8299,96.07866,332.51,0.56,0.68,2024-11-25,05:54,N,nominal,2.0NRT,293.48,3.81,D
16.82589,82.10244,330.49,0.46,0.39,2024-11-25,07:33,N,nominal,2.0NRT,298.3,2.8,D
16.79904,81.88084,328.87,0.48,0.4,2024-11-25,07:33,N,nominal,2.0NRT,295.26,2.67,D
16.83887,82.09113,348.46,0.46,0.39,2024-11-25,07:33,N,nominal,2.0NRT,299.57,6.53,D
16.82456,81.98562,335.06,0.47,0.4,2024-11-25,07:33,N,nominal,2.0NRT,296.37,2.61,D
16.83396,81.97483,332.29,0.47,0.4,2024-11-25,07:33,N,nominal,2.0NRT,293.44,1.59,D
16.85753,82.04736,332.9,0.47,0.39,2024-11-25,07:33,N,nominal,2.0NRT,298.86,2.38,D
16.83887,81.93757,328.69,0.47,0.4,2024-11-25,07:33,N,nominal,2.0NRT,295.17,2.19,D
16.82001,81.73828,334.35,0.48,0.4,2024-11-25,07:33,N,nominal,2.0NRT,295.46,4.31,D
16.87828,81.94859,337.27,0.47,0.4,2024-11-25,07:33,N,nominal,2.0NRT,298,4.24,D
16.88623,81.92893,333.64,0.47,0.4,2024-11-25,07:33,N,nominal,2.0NRT,296.84,3.61,D
16.47968,79.5122,329.97,0.44,0.46,2024-11-25,07:33,N,nominal,2.0NRT,293.82,5.42,D
16.92565,82.05293,338.75,0.47,0.39,2024-11-25,07:33,N,nominal,2.0NRT,297.01,3.3,D
16.94194,82.14486,334.43,0.46,0.39,2024-11-25,07:33,N,nominal,2.0NRT,297.53,3.84,D
