latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
6.41331,101.48744,327.58,0.39,0.36,2024-11-17,06:37,N,nominal,2.0NRT,289.91,0.89,D
8.09666,99.5256,331.18,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,293.48,1.88,D
8.42334,99.27837,329.68,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,297.62,2.99,D
8.68272,99.31255,339.69,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,298.55,4.98,D
8.68994,99.18146,332.08,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,297.97,2.5,D
8.7888,99.41109,342.8,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,299.35,3.47,D
8.9853,99.89871,330.74,0.38,0.36,2024-11-17,06:39,N,nominal,2.0NRT,297.21,1.65,D
8.8398,98.77077,332.55,0.4,0.37,2024-11-17,06:39,N,nominal,2.0NRT,299.51,2.41,D
9.17979,98.91714,332.43,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,299.18,3.66,D
9.17924,98.91359,331.81,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,298.18,3.66,D
9.33231,98.94745,330.92,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,296.93,2.75,D
9.48119,99.0758,336.13,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,304.32,3.48,D
9.53029,99.01744,335.25,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,301.76,1.97,D
12.73436,99.84116,334.09,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,298.7,2.53,D
13.80188,101.74777,340.65,0.45,0.39,2024-11-17,06:39,N,nominal,2.0NRT,291.87,6.72,D
15.06194,100.02527,335.69,0.4,0.37,2024-11-17,06:39,N,nominal,2.0NRT,290.92,2.72,D
13.74684,99.31441,329.4,0.39,0.36,2024-11-17,06:39,N,nominal,2.0NRT,296.63,1.08,D
16.98176,96.47658,345.26,0.4,0.37,2024-11-17,06:41,N,nominal,2.0NRT,295.95,4.55,D
17.0036,96.56953,329.93,0.4,0.37,2024-11-17,06:41,N,nominal,2.0NRT,295.2,1.76,D
17.1139,96.81866,345.5,0.4,0.37,2024-11-17,06:41,N,nominal,2.0NRT,297.81,6.82,D
17.16097,97.09416,333.78,0.39,0.36,2024-11-17,06:41,N,nominal,2.0NRT,295.16,3.37,D
17.08031,96.47891,329.7,0.4,0.37,2024-11-17,06:41,N,nominal,2.0NRT,296.85,1.56,D
20.03273,99.30253,326.18,0.41,0.37,2024-11-17,06:41,N,low,2.0NRT,299.16,2.34,D
20.12611,100.36926,339.38,0.45,0.39,2024-11-17,06:41,N,nominal,2.0NRT,300.93,6.15,D
20.11255,100.34944,326.59,0.45,0.39,2024-11-17,06:41,N,low,2.0NRT,301.38,1.8,D
19.92099,99.34791,327.83,0.41,0.37,2024-11-17,06:41,N,nominal,2.0NRT,297.54,1.56,D
19.82445,98.91279,326.99,0.4,0.37,2024-11-17,06:41,N,nominal,2.0NRT,296.26,1.52,D
19.92548,99.94892,331.68,0.43,0.38,2024-11-17,06:41,N,nominal,2.0NRT,300.15,2.64,D
19.91856,99.92486,331.63,0.43,0.38,2024-11-17,06:41,N,nominal,2.0NRT,301.2,2.23,D
19.88081,99.75619,326.85,0.42,0.38,2024-11-17,06:41,N,nominal,2.0NRT,297.87,2.1,D
19.79724,100.35011,337.61,0.44,0.39,2024-11-17,06:41,N,nominal,2.0NRT,299.34,4.33,D
