latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
15.36217,100.17929,327.48,0.46,0.63,2024-11-09,05:50,N,nominal,2.0NRT,285.21,3.63,D
15.39579,99.74171,331.21,0.49,0.65,2024-11-09,05:50,N,nominal,2.0NRT,285.22,4.28,D
15.34342,100.37785,336.81,0.45,0.63,2024-11-09,05:50,N,nominal,2.0NRT,282.79,8.1,D
15.36296,100.17822,326.19,0.46,0.64,2024-11-09,05:50,N,nominal,2.0NRT,284.86,3.31,D
15.39482,99.73714,344.92,0.49,0.65,2024-11-09,05:50,N,nominal,2.0NRT,285.22,4.28,D
17.03246,100.01181,331.38,0.44,0.62,2024-11-09,05:52,N,nominal,2.0NRT,290.98,2.56,D
17.42491,99.6761,330.17,0.45,0.63,2024-11-09,05:52,N,nominal,2.0NRT,291.44,3.48,D
17.5169,100.04964,334.89,0.43,0.62,2024-11-09,05:52,N,nominal,2.0NRT,292.49,3.22,D
16.93435,100.83216,326.79,0.39,0.59,2024-11-09,05:52,N,nominal,2.0NRT,291.97,1.74,D
22.93994,95.56429,335.78,0.62,0.72,2024-11-09,05:54,N,nominal,2.0NRT,288.1,10.31,D
27.46169,95.47635,333.16,0.5,0.66,2024-11-09,05:54,N,nominal,2.0NRT,293.11,2.79,D
28.68618,95.82858,343.33,0.45,0.63,2024-11-09,05:54,N,nominal,2.0NRT,293.89,6.14,D
26.1186,94.6228,367,0.6,0.71,2024-11-09,05:54,N,high,2.0NRT,292.84,15.62,D
26.11691,94.62103,350.14,0.6,0.71,2024-11-09,05:54,N,nominal,2.0NRT,290.68,11.27,D
27.19927,94.51596,326.57,0.58,0.69,2024-11-09,05:54,N,nominal,2.0NRT,292.84,3.37,D
27.19917,94.51291,327.72,0.58,0.69,2024-11-09,05:54,N,nominal,2.0NRT,292.93,3.7,D
38.24955,101.53428,342.64,0.44,0.39,2024-11-09,05:59,N,nominal,2.0NRT,291.22,8.88,D
17.19094,81.68533,367,0.48,0.4,2024-11-09,07:33,N,high,2.0NRT,304.17,15.12,D
17.49865,82.76364,344.04,0.43,0.38,2024-11-09,07:33,N,nominal,2.0NRT,300.94,4.59,D
17.5992,83.18551,337.2,0.41,0.37,2024-11-09,07:33,N,nominal,2.0NRT,302.83,6.03,D
17.60151,83.18513,334.36,0.41,0.37,2024-11-09,07:33,N,nominal,2.0NRT,303.59,5.64,D
17.26259,81.06971,336.44,0.52,0.41,2024-11-09,07:33,N,nominal,2.0NRT,299.6,3.54,D
17.12216,79.98518,342.73,0.4,0.44,2024-11-09,07:33,N,nominal,2.0NRT,298.12,4.36,D
17.74093,82.78761,334.57,0.43,0.38,2024-11-09,07:33,N,nominal,2.0NRT,298.83,4.29,D
17.79504,82.89249,338.81,0.42,0.38,2024-11-09,07:33,N,nominal,2.0NRT,299.98,2.59,D
18.32291,83.6248,333.07,0.4,0.37,2024-11-09,07:33,N,nominal,2.0NRT,302.91,2.4,D
18.32366,83.62446,335.24,0.4,0.37,2024-11-09,07:33,N,nominal,2.0NRT,303.5,3.14,D
18.04523,80.70452,331.96,0.53,0.42,2024-11-09,07:33,N,nominal,2.0NRT,299.79,2.39,D
18.04326,80.70701,332.34,0.53,0.42,2024-11-09,07:33,N,nominal,2.0NRT,300.52,4.87,D
17.87382,79.52898,335.42,0.41,0.45,2024-11-09,07:33,N,nominal,2.0NRT,300.46,3.16,D
18.00422,79.24691,333.31,0.43,0.46,2024-11-09,07:33,N,nominal,2.0NRT,301.93,3.72,D
18.00432,79.2469,331.79,0.43,0.46,2024-11-09,07:33,N,nominal,2.0NRT,301.42,3.62,D
18.11153,78.93436,333,0.44,0.46,2024-11-09,07:33,N,nominal,2.0NRT,297.21,5.42,D
18.1967,79.25431,338.64,0.42,0.45,2024-11-09,07:33,N,nominal,2.0NRT,298.63,2.58,D
18.24148,79.33531,330.56,0.42,0.45,2024-11-09,07:33,N,nominal,2.0NRT,299.12,1.67,D
18.24254,79.33517,337.14,0.42,0.45,2024-11-09,07:33,N,nominal,2.0NRT,299.46,3.98,D
18.19748,79.04936,332.33,0.43,0.46,2024-11-09,07:33,N,nominal,2.0NRT,300.48,3.48,D
11.14266,76.89446,330.38,0.4,0.6,2024-11-09,07:33,N,nominal,2.0NRT,288.88,2.44,D
11.39463,77.1191,330.8,0.38,0.59,2024-11-09,07:33,N,nominal,2.0NRT,297.71,2.54,D
12.39491,75.99726,338.02,0.44,0.62,2024-11-09,07:33,N,nominal,2.0NRT,293,3.5,D
13.12178,79.84028,342.92,0.47,0.48,2024-11-09,07:33,N,nominal,2.0NRT,273.1,5.33,D
12.39549,75.99715,337.21,0.44,0.62,2024-11-09,07:33,N,nominal,2.0NRT,292.3,4.59,D
15.85906,97.79535,327.96,0.55,0.68,2024-11-09,07:33,N,nominal,2.0NRT,287.7,2.78,D
16.17088,99.99219,325.67,0.77,0.78,2024-11-09,07:33,N,nominal,2.0NRT,286.06,5.41,D
14.64601,79.9622,340.09,0.44,0.46,2024-11-09,07:33,N,nominal,2.0NRT,296.62,6.74,D
14.53583,78.47411,330.37,0.55,0.51,2024-11-09,07:33,N,low,2.0NRT,302.84,4.87,D
14.84,78.7386,340.5,0.52,0.5,2024-11-09,07:33,N,nominal,2.0NRT,298.38,5.78,D
15.00656,78.98169,331.5,0.5,0.49,2024-11-09,07:33,N,nominal,2.0NRT,297.51,1.32,D
16.01929,79.71609,337.79,0.43,0.46,2024-11-09,07:33,N,nominal,2.0NRT,298.97,4.42,D
15.83614,78.21858,342.83,0.54,0.51,2024-11-09,07:33,N,nominal,2.0NRT,298.84,6.97,D
16.93909,81.61586,336.25,0.49,0.4,2024-11-09,07:33,N,nominal,2.0NRT,298.44,3.56,D
16.31579,77.58025,332.79,0.58,0.52,2024-11-09,07:33,N,nominal,2.0NRT,298.65,7.88,D
16.98067,80.86629,331.21,0.53,0.42,2024-11-09,07:33,N,nominal,2.0NRT,301.07,4.65,D
16.98855,80.88331,331.91,0.53,0.42,2024-11-09,07:33,N,nominal,2.0NRT,299.51,4.84,D
17.17411,81.7855,332.77,0.48,0.4,2024-11-09,07:33,N,nominal,2.0NRT,300.56,2.08,D
