latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.85567,100.20197,332.85,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,299.9,1.91,D
15.75042,99.72774,332.52,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,298.22,3.69,D
15.72874,99.80826,336.7,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,299.81,3.01,D
15.73318,100.41668,335.97,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,299.74,2.58,D
15.81119,100.94048,342.58,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,301.7,3.32,D
15.71208,100.43475,343.16,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,301.22,5.35,D
15.70822,100.43168,348.09,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,301.73,6.75,D
15.70876,100.43527,347.04,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,302.7,5.35,D
15.7049,100.43221,342.47,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,303.21,5.86,D
15.62526,99.99416,336.6,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,300.66,2.8,D
15.68026,100.49496,333.41,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,300.93,3.95,D
15.53032,99.57351,336.23,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,299.52,4.22,D
15.63897,100.44315,339.06,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,300.45,3.67,D
15.56466,100.22037,343.86,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,304.59,6.41,D
15.54021,100.10352,334,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,302.23,2.73,D
15.44497,99.67963,330.84,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,299.77,1.65,D
15.52684,100.28501,330.69,0.38,0.36,2024-11-12,06:33,N,low,2.0NRT,303.42,2.01,D
15.4,99.62512,342.26,0.39,0.36,2024-11-12,06:33,N,nominal,2.0NRT,300.65,4.02,D
15.39402,100.12025,333.69,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,301.3,3.02,D
15.39564,100.13096,347.52,0.38,0.36,2024-11-12,06:33,N,nominal,2.0NRT,302.53,6.1,D
