latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source_file
30.03404,75.84365,367.0,0.58,0.69,2024-10-31,07:05,N,high,2.0NRT,303.23,12.04,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.0348,75.77182,333.7,0.58,0.7,2024-10-31,07:05,N,nominal,2.0NRT,301.33,4.42,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.03316,75.76585,340.39,0.58,0.7,2024-10-31,07:05,N,nominal,2.0NRT,301.85,4.42,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.24427,76.46893,332.36,0.53,0.67,2024-10-31,07:05,N,nominal,2.0NRT,299.21,2.34,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.03382,75.69327,350.48,0.59,0.7,2024-10-31,07:05,N,nominal,2.0NRT,302.61,7.46,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.0835,75.77431,337.4,0.58,0.7,2024-10-31,07:05,N,nominal,2.0NRT,302.3,3.99,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.25658,76.26719,332.13,0.54,0.68,2024-10-31,07:05,N,nominal,2.0NRT,299.89,6.67,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.37107,76.65193,346.95,0.51,0.66,2024-10-31,07:05,N,nominal,2.0NRT,300.42,6.55,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22566,76.05025,346.12,0.56,0.69,2024-10-31,07:05,N,nominal,2.0NRT,301.73,6.19,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.27689,76.19308,331.29,0.54,0.68,2024-10-31,07:05,N,nominal,2.0NRT,300.65,4.71,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.14564,75.69982,339.37,0.58,0.7,2024-10-31,07:05,N,nominal,2.0NRT,302.62,6.67,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.28298,76.19094,352.92,0.54,0.68,2024-10-31,07:05,N,nominal,2.0NRT,300.5,4.71,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.27411,76.15728,342.87,0.55,0.68,2024-10-31,07:05,N,nominal,2.0NRT,301.02,4.32,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.37145,76.65173,347.69,0.51,0.66,2024-10-31,07:05,N,nominal,2.0NRT,300.14,5.21,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22256,76.05201,350.41,0.56,0.68,2024-10-31,07:05,N,nominal,2.0NRT,301.97,7.86,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.28076,76.19233,367.0,0.54,0.68,2024-10-31,07:05,N,high,2.0NRT,301.75,10.95,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.27169,76.1588,344.51,0.55,0.68,2024-10-31,07:05,N,nominal,2.0NRT,301.52,5.6,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.14677,75.70065,344.83,0.58,0.7,2024-10-31,07:05,N,nominal,2.0NRT,302.88,4.98,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.28385,76.17905,340.04,0.55,0.68,2024-10-31,07:05,N,nominal,2.0NRT,301.14,9.21,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.16095,75.7022,337.85,0.58,0.7,2024-10-31,07:05,N,nominal,2.0NRT,303.58,6.19,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.0593,75.33346,336.72,0.61,0.71,2024-10-31,07:05,N,nominal,2.0NRT,301.03,8.02,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.05755,75.32716,330.76,0.62,0.71,2024-10-31,07:05,N,nominal,2.0NRT,300.54,5.0,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.28855,76.12209,367.0,0.55,0.68,2024-10-31,07:05,N,high,2.0NRT,302.39,11.7,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.04923,75.24641,341.76,0.62,0.72,2024-10-31,07:05,N,nominal,2.0NRT,301.87,8.25,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.29468,76.11996,367.0,0.55,0.68,2024-10-31,07:05,N,high,2.0NRT,300.2,11.7,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.26081,75.94427,333.86,0.56,0.69,2024-10-31,07:05,N,nominal,2.0NRT,299.84,4.44,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22879,75.75008,367.0,0.58,0.7,2024-10-31,07:05,N,high,2.0NRT,304.66,12.46,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.4304,76.4809,331.46,0.52,0.67,2024-10-31,07:05,N,nominal,2.0NRT,299.43,2.95,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.43709,76.43164,330.22,0.52,0.67,2024-10-31,07:05,N,nominal,2.0NRT,299.71,4.08,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.23016,75.75253,345.49,0.58,0.69,2024-10-31,07:05,N,nominal,2.0NRT,301.9,8.46,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
